brand,model,source_type,url,stored_hash,current_hash,http_status,content_type,freshness_status,checked_at
BMW,i4,manufacturer_configurator,https://hitta.bmw.se/r/G26-i4,b41e26c423e852131d4698e488403810d2dc9635747376b51cc7b1c216db5b16,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.039878+00:00
BMW,i5,manufacturer_configurator,https://hitta.bmw.se/r/G60-i5,ff3f0eaf8964f7658c4413c58113b8b9a7cb5886eb538802b3be60766258b316,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.039878+00:00
BMW,iX,manufacturer_configurator,https://hitta.bmw.se/r/I20-iX,6c38adbb52de76671c2a9537fa85e828fac7afcb2b96b282d0c3cf7b50056e9e,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.039878+00:00
BMW,iX1,manufacturer_configurator,https://hitta.bmw.se/r/U11-iX1,ed5182b5d5c226e835ee9f91d67387eb5d7d711bee54136225f8658c2fb7292a,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.039878+00:00
BMW,iX3,manufacturer_configurator,https://hitta.bmw.se/r/NA5-iX3,5c0943838ad929bc00d2fd2e13423a6f13effae6f50ed2f2d72748eeb84645b3,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.039878+00:00
Cupra,Born,manufacturer_model_page,https://www.cupraofficial.se/bilar/born,bfd710f5388e42d961bb3b807080a5bdd9ef3e0efb1f9e45f6968f4fa5616495,bfd710f5388e42d961bb3b807080a5bdd9ef3e0efb1f9e45f6968f4fa5616495,200,text/html;charset=utf-8,fresh,2026-05-15T17:52:28.261451+00:00
Ford,Explorer,manufacturer_configurator,https://ford.se/configurators/new?car_model_id=31,d2c71e5825d56e3f2e58d5ab049342a5c10a9186e00fe000ec5e477f56bf50eb,,,,skipped_rendered_or_configurator,2026-05-15T17:52:28.261451+00:00
Ford,Explorer,manufacturer_model_page,https://ford.se/personbilar/elektriska-explorer,4a40c2536fb809cd40494db2fed7208c90b4cae1ea8fe86d280447d0491a95bb,9a062b07ccd8a56c4ec8115afce8b6fc3092247cef77832a529ee3e4b5dcaad6,200,text/html; charset=utf-8,source_hash_changed,2026-05-15T17:52:28.685682+00:00
Ford,Explorer,manufacturer_price_list,https://ford.se/brochures_and_pricelists/31,10952e6dd035df824a9488cc858087de3c8f65679dd85d2defbf64863ee6dbc1,46e5b1b299377cb76a1173bc127b1bb9f592be69841405a541dcb9a119c2f26e,200,text/html; charset=utf-8,source_hash_changed,2026-05-15T17:52:28.915768+00:00
Ford,Explorer,manufacturer_specs_page,https://ford.se/personbilar/elektriska-explorer/versioner,506f2fc1977db34f95d104e8f5531be0296d1ff2d5155adb07e74e7cf27822bd,b1c5660e75ce56d988a83d6737a94a10a4544856276c2b545319daf71340ffe4,200,text/html; charset=utf-8,source_hash_changed,2026-05-15T17:52:29.236590+00:00
Kia,EV3,manufacturer_configurator,https://www.kia.com/se/kopa/bygg-din-kia/#/ev3,e87bf2a3f80a9546d74f8b939929b84609f3718001e806225fab8ba2a6cf0aa8,,,,skipped_rendered_or_configurator,2026-05-15T17:52:29.236590+00:00
Kia,EV3,manufacturer_model_page,https://www.kia.com/se/nya-bilar/ev3/upptack/,cc84404028fe5cda375e0661df20b32b2423067d11d06779caeec5a8242d1758,cc84404028fe5cda375e0661df20b32b2423067d11d06779caeec5a8242d1758,200,text/html; charset=UTF-8,fresh,2026-05-15T17:52:29.572270+00:00
